cod_provincia,provincia,anio,tasa_actividad,tasa_paro,tasa_empleo,trimestres_disponibles
14,Córdoba,2023,55.582499999999996,18.4075,45.345,4
14,Córdoba,2024,57.5375,16.6175,47.97,4
14,Córdoba,2025,57.332499999999996,17.3,47.417500000000004,4
14,Córdoba,2026,56.8,16.69,47.32,1
15,"Coruña, A",2002,50.7575,12.8525,44.2375,4
15,"Coruña, A",2003,53.205,13.754999999999999,45.8775,4
15,"Coruña, A",2004,53.629999999999995,14.5075,45.8525,4
15,"Coruña, A",2005,53.85,9.6325,48.67,4
15,"Coruña, A",2006,53.7475,8.1225,49.385,4
15,"Coruña, A",2007,54.3175,8.2225,49.86,4
15,"Coruña, A",2008,55.295,8.9175,50.3675,4
15,"Coruña, A",2009,56.2975,11.47,49.84,4
15,"Coruña, A",2010,55.0575,13.98,47.3625,4
15,"Coruña, A",2011,55.724999999999994,15.8275,46.9075,4
15,"Coruña, A",2012,56.269999999999996,18.38,45.925,4
15,"Coruña, A",2013,55.29,20.18,44.1325,4
15,"Coruña, A",2014,55.09,19.955,44.095,4
15,"Coruña, A",2015,54.7275,17.4075,45.1975,4
15,"Coruña, A",2016,54.82,15.4125,46.3725,4
15,"Coruña, A",2017,54.792500000000004,14.1625,47.0325,4
15,"Coruña, A",2018,54.785,12.23,48.0875,4
15,"Coruña, A",2019,54.8125,10.2025,49.2225,4
15,"Coruña, A",2020,52.957499999999996,11.2325,47.004999999999995,4
15,"Coruña, A",2021,52.7025,10.6,47.1225,4
15,"Coruña, A",2022,53.417500000000004,10.1,48.019999999999996,4
15,"Coruña, A",2023,53.3475,9.1025,48.49,4
15,"Coruña, A",2024,53.1175,7.98,48.8775,4
15,"Coruña, A",2025,53.7475,7.2125,49.875,4
15,"Coruña, A",2026,53.75,7.64,49.64,1
16,Cuenca,2002,45.46,9.3675,41.192499999999995,4
16,Cuenca,2003,46.335,9.1975,42.07,4
16,Cuenca,2004,46.7825,8.715,42.7025,4
16,Cuenca,2005,48.1375,6.425,45.045,4
16,Cuenca,2006,50.0875,6.9475,46.61,4
16,Cuenca,2007,50.849999999999994,5.7575,47.925,4
16,Cuenca,2008,51.825,7.9675,47.6925,4
16,Cuenca,2009,52.5875,15.9825,44.185,4
16,Cuenca,2010,53.23,19.3525,42.92,4
16,Cuenca,2011,51.8525,19.5325,41.722500000000004,4
16,Cuenca,2012,53.19,23.377499999999998,40.7625,4
16,Cuenca,2013,54.6625,28.87,38.875,4
