cod_provincia,provincia,anio,numero_hipotecas_vivienda,importe_total_hipotecas_vivienda_miles_eur,meses_disponibles,importe_medio_hipoteca_eur
19,Guadalajara,2020,2536,276714,12,109114.35331230283
19,Guadalajara,2021,3398,391769,12,115293.99646851089
19,Guadalajara,2022,3264,395324,12,121116.42156862745
19,Guadalajara,2023,3491,425477,12,121878.25837868806
19,Guadalajara,2024,3331,421122,12,126425.0975682978
19,Guadalajara,2025,4184,599850,12,143367.59082217974
19,Guadalajara,2026,761,119143,2,156561.1038107753
20,Gipuzkoa,2003,12344,1440248,12,116675.95593000649
20,Gipuzkoa,2004,11953,1567189,12,131112.6077135447
20,Gipuzkoa,2005,11955,1769152,12,147984.27436219156
20,Gipuzkoa,2006,13025,2067224,12,158712.01535508636
20,Gipuzkoa,2007,11265,1953825,12,173442.07723035951
20,Gipuzkoa,2008,9594,1614629,12,168295.7056493642
20,Gipuzkoa,2009,8182,1255406,12,153435.10144219018
20,Gipuzkoa,2010,8456,1351405,12,159816.10690633868
20,Gipuzkoa,2011,6670,1017841,12,152599.8500749625
20,Gipuzkoa,2012,5666,773660,12,136544.29932933286
20,Gipuzkoa,2013,3863,509699,12,131943.82604193632
20,Gipuzkoa,2014,4036,507641,12,125778.24578790882
20,Gipuzkoa,2015,4885,699335,12,143159.6724667349
20,Gipuzkoa,2016,5142,721635,12,140341.30688448076
20,Gipuzkoa,2017,5261,764567,12,145327.31419882152
20,Gipuzkoa,2018,5954,909427,12,152742.1901242862
20,Gipuzkoa,2019,6478,1008176,12,155630.75023155296
20,Gipuzkoa,2020,6469,998767,12,154392.79641366517
20,Gipuzkoa,2021,6597,1121455,12,169994.6945581325
20,Gipuzkoa,2022,7210,1231756,12,170839.9445214979
20,Gipuzkoa,2023,6416,1131823,12,176406.32793017456
20,Gipuzkoa,2024,6838,1156602,12,169143.31675928633
20,Gipuzkoa,2025,7676,1423377,12,185432.12610734758
20,Gipuzkoa,2026,1254,253638,2,202263.15789473685
21,Huelva,2003,14311,1067520,12,74594.36796869541
21,Huelva,2004,16181,1349638,12,83408.81280514183
21,Huelva,2005,17515,1706544,12,97433.28575506709
21,Huelva,2006,18977,2190107,12,115408.49449333403
21,Huelva,2007,19688,2518899,12,127940.8268996343
21,Huelva,2008,11945,1473740,12,123377.14524905819
21,Huelva,2009,8084,789895,12,97710.91044037606
21,Huelva,2010,7811,704083,12,90139.93086672641
21,Huelva,2011,5646,477741,12,84615.83421891605
21,Huelva,2012,4095,337534,12,82425.88522588523
