Provincias;Tasas;Sexo;Periodo;Total
40 Segovia;Tasa de empleo de la población;Ambos sexos;2021T3;54,29
40 Segovia;Tasa de empleo de la población;Ambos sexos;2021T2;52,57
40 Segovia;Tasa de empleo de la población;Ambos sexos;2021T1;50,94
40 Segovia;Tasa de empleo de la población;Ambos sexos;2020T4;55,02
40 Segovia;Tasa de empleo de la población;Ambos sexos;2020T3;54,08
40 Segovia;Tasa de empleo de la población;Ambos sexos;2020T2;50,38
40 Segovia;Tasa de empleo de la población;Ambos sexos;2020T1;53,14
40 Segovia;Tasa de empleo de la población;Ambos sexos;2019T4;55,37
40 Segovia;Tasa de empleo de la población;Ambos sexos;2019T3;55,14
40 Segovia;Tasa de empleo de la población;Ambos sexos;2019T2;53,41
40 Segovia;Tasa de empleo de la población;Ambos sexos;2019T1;50,72
40 Segovia;Tasa de empleo de la población;Ambos sexos;2018T4;51,50
40 Segovia;Tasa de empleo de la población;Ambos sexos;2018T3;51,14
40 Segovia;Tasa de empleo de la población;Ambos sexos;2018T2;50,04
40 Segovia;Tasa de empleo de la población;Ambos sexos;2018T1;49,63
40 Segovia;Tasa de empleo de la población;Ambos sexos;2017T4;50,74
40 Segovia;Tasa de empleo de la población;Ambos sexos;2017T3;53,56
40 Segovia;Tasa de empleo de la población;Ambos sexos;2017T2;53,30
40 Segovia;Tasa de empleo de la población;Ambos sexos;2017T1;53,42
40 Segovia;Tasa de empleo de la población;Ambos sexos;2016T4;53,40
40 Segovia;Tasa de empleo de la población;Ambos sexos;2016T3;53,93
40 Segovia;Tasa de empleo de la población;Ambos sexos;2016T2;51,42
40 Segovia;Tasa de empleo de la población;Ambos sexos;2016T1;49,12
40 Segovia;Tasa de empleo de la población;Ambos sexos;2015T4;49,57
40 Segovia;Tasa de empleo de la población;Ambos sexos;2015T3;50,96
40 Segovia;Tasa de empleo de la población;Ambos sexos;2015T2;52,13
40 Segovia;Tasa de empleo de la población;Ambos sexos;2015T1;50,79
40 Segovia;Tasa de empleo de la población;Ambos sexos;2014T4;50,31
40 Segovia;Tasa de empleo de la población;Ambos sexos;2014T3;50,89
40 Segovia;Tasa de empleo de la población;Ambos sexos;2014T2;51,51
40 Segovia;Tasa de empleo de la población;Ambos sexos;2014T1;50,05
40 Segovia;Tasa de empleo de la población;Ambos sexos;2013T4;48,91
40 Segovia;Tasa de empleo de la población;Ambos sexos;2013T3;48,18
40 Segovia;Tasa de empleo de la población;Ambos sexos;2013T2;47,46
40 Segovia;Tasa de empleo de la población;Ambos sexos;2013T1;45,93
