Total Nacional;Provincias;Estado de la vivienda;Periodo;Total
Total;39 Cantabria;Vivienda segunda mano;2021;157
Total;39 Cantabria;Vivienda segunda mano;2020;467
Total;39 Cantabria;Vivienda segunda mano;2019;312
Total;39 Cantabria;Vivienda segunda mano;2018;377
Total;39 Cantabria;Vivienda segunda mano;2017;216
Total;39 Cantabria;Vivienda segunda mano;2016;378
Total;39 Cantabria;Vivienda segunda mano;2015;336
Total;39 Cantabria;Vivienda segunda mano;2014;437
Total;12 Castellón/Castelló;General;2025;341
Total;12 Castellón/Castelló;General;2024;268
Total;12 Castellón/Castelló;General;2023;286
Total;12 Castellón/Castelló;General;2022;447
Total;12 Castellón/Castelló;General;2021;845
Total;12 Castellón/Castelló;General;2020;733
Total;12 Castellón/Castelló;General;2019;1.266
Total;12 Castellón/Castelló;General;2018;1.630
Total;12 Castellón/Castelló;General;2017;1.152
Total;12 Castellón/Castelló;General;2016;2.020
Total;12 Castellón/Castelló;General;2015;1.977
Total;12 Castellón/Castelló;General;2014;2.121
Total;12 Castellón/Castelló;Vivienda nueva;2025;34
Total;12 Castellón/Castelló;Vivienda nueva;2024;19
Total;12 Castellón/Castelló;Vivienda nueva;2023;24
Total;12 Castellón/Castelló;Vivienda nueva;2022;30
Total;12 Castellón/Castelló;Vivienda nueva;2021;242
Total;12 Castellón/Castelló;Vivienda nueva;2020;158
Total;12 Castellón/Castelló;Vivienda nueva;2019;349
Total;12 Castellón/Castelló;Vivienda nueva;2018;649
Total;12 Castellón/Castelló;Vivienda nueva;2017;207
Total;12 Castellón/Castelló;Vivienda nueva;2016;305
Total;12 Castellón/Castelló;Vivienda nueva;2015;273
Total;12 Castellón/Castelló;Vivienda nueva;2014;296
Total;12 Castellón/Castelló;Vivienda segunda mano;2025;307
Total;12 Castellón/Castelló;Vivienda segunda mano;2024;249
Total;12 Castellón/Castelló;Vivienda segunda mano;2023;262
Total;12 Castellón/Castelló;Vivienda segunda mano;2022;417
Total;12 Castellón/Castelló;Vivienda segunda mano;2021;603
Total;12 Castellón/Castelló;Vivienda segunda mano;2020;575
Total;12 Castellón/Castelló;Vivienda segunda mano;2019;917
Total;12 Castellón/Castelló;Vivienda segunda mano;2018;981
Total;12 Castellón/Castelló;Vivienda segunda mano;2017;945
Total;12 Castellón/Castelló;Vivienda segunda mano;2016;1.715
Total;12 Castellón/Castelló;Vivienda segunda mano;2015;1.704
Total;12 Castellón/Castelló;Vivienda segunda mano;2014;1.825
Total;13 Ciudad Real;General;2025;95
Total;13 Ciudad Real;General;2024;80
Total;13 Ciudad Real;General;2023;93
Total;13 Ciudad Real;General;2022;124
Total;13 Ciudad Real;General;2021;101
Total;13 Ciudad Real;General;2020;197
Total;13 Ciudad Real;General;2019;236
Total;13 Ciudad Real;General;2018;413
Total;13 Ciudad Real;General;2017;152
